id,Type,Length,Isometrie,vertex_index,vertex_part,vertex_part_index,distance,angle,xcoord,ycoord
4,Akkumulator,,Links,0,0,0,0.00000000000000,98.38324847797976,401880.020415246,5531805.88954921
4,Akkumulator,,Links,1,0,1,2.21366404912698,92.09617047463348,401882.210426296,5531805.56681074
4,Akkumulator,,Links,2,0,2,7.57624062498511,81.90339878345408,401887.558663809,5531805.95870745
4,Akkumulator,,Links,3,0,3,13.56250263572084,81.05585863490209,401893.414061777,5531807.20355584
4,Akkumulator,,Links,4,0,4,18.05843863525240,84.11401217418320,401897.88629487,5531807.6646108
6,Akkumulator,,Links,0,0,0,0.00000000000000,120.78414651714255,401813.305762817,5531899.41454744
6,Akkumulator,,Links,1,0,1,2.52235410114283,116.33890982975097,401815.472721119,5531898.12359356
6,Akkumulator,,Links,2,0,2,5.18072678256470,104.50934475059562,401817.939365145,5531897.1323254
6,Akkumulator,,Links,3,0,3,7.59687032272146,91.51969978781285,401820.336850927,5531896.83263968
6,Akkumulator,,Links,4,0,4,10.83247767851605,87.95719160839694,401823.564235633,5531897.06316716
6,Akkumulator,,Links,5,0,5,13.78322940997929,90.00000000000000,401826.514987365,5531897.06316716
12,Akkumulator,,Links,0,0,0,0.00000000000000,102.85809016827061,402053.042814624,5531991.33737971
12,Akkumulator,,Links,1,0,1,2.17540269830550,95.32774600683175,402055.163667431,5531990.853272
12,Akkumulator,,Links,2,0,2,4.57466111308710,83.14178532808306,402057.561153212,5531990.94548299
12,Akkumulator,,Links,3,0,3,7.11548809454107,81.80613619771069,402060.050849986,5531991.45264344
12,Akkumulator,,Links,4,0,4,10.10008455180238,90.14084395128680,402063.024654465,5531991.70622367
12,Akkumulator,,Links,5,0,5,13.17855441055111,95.15558431792545,402066.090669936,5531991.4295907
13,Akkumulator,,Links,0,0,0,0.00000000000000,120.57922688788658,402057.238414742,5531906.7799004
13,Akkumulator,,Links,1,0,1,2.35634720182634,108.38392142246106,402059.267056557,5531905.58115751
13,Akkumulator,,Links,2,0,2,4.28094103564949,90.54825041881497,402061.180434633,5531905.37368278
13,Akkumulator,,Links,3,0,3,6.61849421977675,85.99852352215612,402063.508762171,5531905.58115751
13,Akkumulator,,Links,4,0,4,9.34223272307803,87.22836365163802,402066.228986423,5531905.719474
13,Akkumulator,,Links,5,0,5,13.35764820567723,93.32724632535326,402070.240164558,5531905.90389598
13,Akkumulator,,Links,6,0,6,17.07171704949934,99.28692751114822,402073.905551475,5531905.30452453
1,Akkumulator,,Links,0,0,0,0.00000000000000,85.23635828376050,401983.861518169,5531884.8336844
1,Akkumulator,,Links,1,0,1,1.94314290925978,81.48579228518062,401985.797948993,5531884.99505363
1,Akkumulator,,Links,2,0,2,4.11353188420798,70.98760752594252,401987.9188018,5531885.45610859
1,Akkumulator,,Links,3,0,3,8.51612392701352,69.65428579513414,401991.883874439,5531887.36948667
1,Akkumulator,,Links,4,0,4,12.09487278354356,80.47049556199330,401995.341786625,5531888.29159658
1,Akkumulator,,Links,5,0,5,16.57873595701590,92.33490950383101,401999.814019718,5531888.61433505
1,Akkumulator,,Links,6,0,6,20.49770310037720,98.79741070865948,402003.686881365,5531888.01496361
10,Akkumulator,,Links,0,0,0,0.00000000000000,90.00000000000000,401699.229239823,5531986.45019715
10,Akkumulator,,Links,1,0,1,1.75200884055812,89.61025684070589,401700.981248663,5531986.45019715
10,Akkumulator,,Links,2,0,2,5.14107641044524,88.12978877345780,401704.370002605,5531986.49630265
10,Akkumulator,,Links,3,0,3,10.49646344605371,87.80348383938758,401709.718240118,5531986.77293562
10,Akkumulator,,Links,4,0,4,17.87564768945272,87.79322129547630,401717.095119447,5531986.9573576
10,Akkumulator,,Links,5,0,5,26.73990139189535,87.01853877768126,401725.947374641,5531987.41841256
3,Distributor,133,Rechts,0,0,0,0.00000000000000,284.93141718209944,401748.446856593,5531799.74599189
3,Distributor,133,Rechts,1,0,1,7.15749771335629,288.88253567826871,401741.531032223,5531801.59021172
3,Distributor,133,Rechts,2,0,2,15.71190002362879,292.70534058312904,401733.64699244,5531804.90980742
3,Distributor,133,Rechts,3,0,3,25.19899508106472,293.64262966168388,401724.886948238,5531808.55214159
3,Distributor,133,Rechts,4,0,4,33.47155966736052,292.02628080555678,401717.371752422,5531812.01005377
3,Distributor,133,Rechts,5,0,5,42.65801462663476,288.84830013334391,401708.70391921,5531815.0530165
3,Distributor,133,Rechts,6,0,6,52.76185283788842,284.86024504646912,401699.113976083,5531818.23429571
3,Distributor,133,Rechts,7,0,7,61.65017454480672,281.00099679798757,401690.400037376,5531819.98630455
3,Distributor,133,Rechts,8,0,8,73.14339707585707,281.42944858514795,401679.104190904,5531822.10715735
3,Distributor,133,Rechts,9,0,9,81.63494803273640,281.31812050434405,401670.805201659,5531823.90527169
3,Distributor,133,Rechts,10,0,10,97.19819943857173,281.18149672829674,401655.498177052,5531826.71770694
3,Distributor,133,Rechts,11,0,11,102.17229694554921,281.95187512804256,401650.631908586,5531827.74779296
4,Distributor,90,Links,0,0,0,0.00000000000000,97.30575952439759,401897.88629487,5531807.6646108
4,Distributor,90,Links,1,0,1,3.62566302078247,99.87266077638822,401901.482523542,5531807.20355584
4,Distributor,90,Links,2,0,2,6.83620822200728,103.28028125080095,401904.617697257,5531806.5119734
4,Distributor,90,Links,3,0,3,14.39540075674246,104.72395918072765,401911.94847109,5531804.66775357
4,Distributor,90,Links,4,0,4,20.84918211879306,103.00956502037316,401918.172713023,5531802.96185023
4,Distributor,90,Links,5,0,5,27.55875954140017,101.23025054094337,401924.765798923,5531801.71700184
4,Distributor,90,Links,6,0,6,32.07992003444423,106.37659338603538,401929.191926521,5531800.79489192
4,Distributor,90,Links,7,0,7,35.68470941153007,118.22018614109314,401932.557627714,5531799.50393804
4,Distributor,90,Links,8,0,8,39.42039280573180,119.56300646110242,401935.600590437,5531797.33697974
4,Distributor,90,Links,9,0,9,43.09526402387670,110.38663372510241,401938.966291631,5531795.86160387
4,Distributor,90,Links,10,0,10,48.11208435558912,107.51532436437255,401943.761263195,5531794.38622801
4,Distributor,90,Links,11,0,11,54.70242914929456,108.70702466326269,401950.031610624,5531792.35758619
4,Distributor,90,Links,12,0,12,60.19324915662284,109.48612956526866,401955.207928942,5531790.52596586
6,Distributor,58,Links,0,0,0,0.00000000000000,104.39046323955247,401826.514987365,5531897.06316716
6,Distributor,58,Links,1,0,1,3.61751899789845,108.04131700271454,401830.019005046,5531896.16410999
6,Distributor,58,Links,2,0,2,8.10807358024112,112.64618031565475,401834.191552416,5531894.50431214
6,Distributor,58,Links,3,0,3,13.29038053126952,112.84721010549249,401838.940418484,5531892.42956483
6,Distributor,58,Links,4,0,4,18.31609106268461,114.77261405551359,401843.59707356,5531890.5392395
6,Distributor,58,Links,5,0,5,22.31665619267571,113.41775672187566,401847.147196737,5531888.69501967
6,Distributor,58,Links,6,0,6,24.95596931691307,112.97478342832490,401849.63689351,5531887.81901525
6,Distributor,58,Links,7,0,7,31.86333584156573,115.71014414361861,401855.815029948,5531884.72994703
6,Distributor,58,Links,8,0,8,33.54652454598431,114.85523710886363,401857.342309387,5531884.02245729
7,Distributor,65,Rechts,0,0,0,0.00000000000000,318.27048792386046,401866.511504974,5531964.97656248
7,Distributor,65,Rechts,1,0,1,4.57165692293046,312.76844491134170,401863.468542251,5531968.38836917
7,Distributor,65,Rechts,2,0,2,9.90157986386175,300.42671621201777,401859.226836637,5531971.61575387
7,Distributor,65,Rechts,3,0,3,13.47349138201843,297.37918977697871,401855.953346435,5531973.04502424
7,Distributor,65,Rechts,4,0,4,17.83819909896298,300.34635542863413,401852.218801275,5531975.30419354
7,Distributor,65,Rechts,5,0,5,22.23589974005131,300.94114969682033,401848.392045123,5531977.47115184
7,Distributor,65,Rechts,6,0,6,27.74873678490790,304.00813282872150,401843.735390047,5531980.42190357
7,Distributor,65,Rechts,7,0,7,32.96905177985426,303.83035565444891,401839.493684433,5531983.4648663
7,Distributor,65,Rechts,8,0,8,36.88367717774356,296.82490917850140,401836.174088735,5531985.53961361
7,Distributor,65,Rechts,9,0,9,40.00866401271019,293.30917301988876,401833.269442499,5531986.692251
7,Distributor,65,Rechts,10,0,10,43.72151643093192,296.74851475275034,401829.903741306,5531988.25983786
7,Distributor,65,Rechts,11,0,11,46.13534939808106,301.01706870933168,401827.782888499,5531989.41247525
7,Distributor,65,Rechts,12,0,12,47.20613331327768,303.51101881250969,401826.890090649,5531990.00365221
8,Distributor,,Rechts,0,0,0,0.00000000000000,299.74488129953886,401999.76982915,5531967.49076989
8,Distributor,,Rechts,1,0,1,4.46057268957514,299.26574980460197,401995.896967502,5531969.70383369
8,Distributor,,Rechts,2,0,2,9.24777983042888,298.79870602586783,401991.701367384,5531972.00910848
8,Distributor,,Rechts,3,0,3,13.45728986985880,296.72622787056798,401988.01292772,5531974.03775029
8,Distributor,,Rechts,4,0,4,18.98629814311764,297.57074761671998,401982.987428677,5531976.34302508
8,Distributor,,Rechts,5,0,5,22.89249767513087,304.01732118832831,401979.621727483,5531978.3255614
8,Distributor,,Rechts,6,0,6,27.66012697447978,311.69495326922606,401975.841076827,5531981.23020764
8,Distributor,,Rechts,7,0,7,32.02921570735885,315.21844372775269,401972.798114104,5531984.36538135
8,Distributor,,Rechts,8,0,8,36.49574138580244,312.88385761293404,401969.616834894,5531987.50055507
8,Distributor,,Rechts,9,0,9,39.92649838805694,311.40973225321432,401967.034927129,5531989.75972436
8,Distributor,,Rechts,10,0,10,43.25760051817582,308.90657989445708,401964.545230355,5531991.97278816
8,Distributor,,Rechts,11,0,11,47.08463440385924,303.15196922059260,401961.456162137,5531994.23195745
8,Distributor,,Rechts,12,0,12,51.40233469879402,298.62281069953491,401957.721616976,5531996.39891576
8,Distributor,,Rechts,13,0,13,55.65004981614308,299.53563742950820,401953.940966321,5531998.33534658
8,Distributor,,Rechts,14,0,14,60.70338883516374,304.83050956394868,401949.653155211,5532001.00946534
