id,Type,Length,Isometrie,vertex_index,vertex_part,vertex_part_index,distance,angle,xcoord,ycoord
1,,57.419,Links,0,0,0,0.00000000000000,61.99012865319042,401610.460473128,5531704.15064928
1,,57.419,Links,1,0,1,5.08060948087996,59.80472547539018,401614.945974032,5531706.53662379
1,,57.419,Links,2,0,2,10.79528770649317,63.42353380639370,401619.772068817,5531709.59707414
1,,57.419,Links,3,0,3,16.88011528097909,76.18631316632502,401625.461367547,5531711.755084
1,,57.419,Links,4,0,4,24.11210308963219,83.80867043368684,401632.64165491,5531712.61828795
1,,57.419,Links,5,0,5,30.22217901964420,86.64650374300186,401638.723319069,5531713.20683609
1,,57.419,Links,6,0,6,43.56543066767240,90.75917663502491,401652.063743678,5531713.48149189
1,,57.419,Links,7,0,7,51.06792555169720,96.34261360472517,401659.557923384,5531713.12836301
1,,57.419,Links,8,0,8,57.40253144415882,99.98742157548314,401665.796533716,5531712.0297398
2,,96.827,Links,0,0,0,0.00000000000000,62.77440247768988,401630.520190635,5531842.24731645
2,,96.827,Links,1,0,1,8.16616377655444,64.05925186610604,401637.781642038,5531845.98329749
2,,96.827,Links,2,0,2,13.43322212036073,68.99503830669164,401642.56850028,5531848.1805439
2,,96.827,Links,3,0,3,18.69501662148436,77.40844942297346,401647.59077778,5531849.75000562
2,,96.827,Links,4,0,4,25.03193088885292,84.02166589567740,401653.868624655,5531850.61320956
2,,96.827,Links,5,0,5,32.66361500774194,88.50341496477026,401661.48051399,5531851.16252116
2,,96.827,Links,6,0,6,40.59095045708456,95.20898721780570,401669.406295669,5531851.00557499
2,,96.827,Links,7,0,7,48.86046495446974,101.43725062789778,401677.567496606,5531849.67153253
2,,96.827,Links,8,0,8,56.20723914561098,107.69617896379714,401684.708547426,5531847.94512464
2,,96.827,Links,9,0,9,62.96868715615900,112.16732978205889,401690.986394301,5531845.43398589
2,,96.827,Links,10,0,10,70.95484187302144,112.80183116712944,401698.362864378,5531842.37353554
2,,96.827,Links,11,0,11,80.16665968916422,115.42716933287711,401706.837957659,5531838.76377358
2,,96.827,Links,12,0,12,88.41567045626940,125.29066412524236,401714.135954651,5531834.91859237
2,,96.827,Links,13,0,13,94.19077777708378,145.81807100920628,401718.373501291,5531830.99493808
2,,96.827,Links,14,0,14,96.79934402366948,158.83874018140253,401719.315178322,5531828.56227241
3,,65.410,Links,0,0,0,0.00000000000000,64.10037230647336,401640.346565983,5531912.43737871
3,,65.410,Links,1,0,1,12.06586142366971,63.60671905804456,401651.200539733,5531917.70769803
3,,65.410,Links,2,0,2,18.31273310404655,75.34677829778413,401656.772128834,5531920.53272913
3,,65.410,Links,3,0,3,23.88929363359182,90.15340088711694,401662.343717935,5531920.76814838
3,,65.410,Links,4,0,4,30.48850224717208,97.62755934821647,401668.935457154,5531920.45425604
3,,65.410,Links,5,0,5,39.17033550055878,105.92599601527267,401677.410550434,5531918.57090198
3,,65.410,Links,6,0,6,45.57347003679548,109.83364278916557,401683.452978051,5531916.45212866
3,,65.410,Links,7,0,7,53.02221538042284,107.79960997886410,401690.437082699,5531913.86251682
3,,65.410,Links,8,0,8,60.18006210932846,106.84503376286244,401697.342714261,5531911.97916276
3,,65.410,Links,9,0,9,65.39128952727584,108.43494882393389,401702.286518675,5531910.33122796
4,,43.734,Links,0,0,0,0.00000000000000,60.21096422414462,401650.137430779,5531980.55661016
4,,43.734,Links,1,0,1,6.65025525219362,65.48071917737302,401655.908924889,5531983.86050947
4,,43.734,Links,2,0,2,11.88682724970024,78.40264394900484,401660.852729303,5531985.58691736
4,,43.734,Links,3,0,3,18.73020227713244,88.02740688370415,401667.679887779,5531986.05775588
4,,43.734,Links,4,0,4,27.59766098752119,94.23557231672388,401676.547346489,5531986.05775588
4,,43.734,Links,5,0,5,35.05549470443445,102.04106658332924,401683.923816567,5531984.95913268
4,,43.734,Links,6,0,6,40.59605024519116,112.05331357541969,401689.25998641,5531983.46814404
