id,Type,vertex_index,vertex_part,vertex_part_index,distance,angle,xcoord,ycoord
10,Keyline,0,0,0,0.00000000000000,107.70972453160861,402021.626866171,5532053.41562761
10,Keyline,1,0,1,3.03308359584340,107.70972453160861,402024.516211527,5532052.49297951
13,Keyline,0,0,0,0.00000000000000,105.20803919565073,402052.122813796,5531992.4844329
13,Keyline,1,0,1,2.59162131025665,105.20803919565073,402054.623675743,5531991.80458693
15,Keyline,0,0,0,0.00000000000000,128.29016319477458,401840.132273414,5531844.35085291
15,Keyline,1,0,1,2.93880862696252,128.29016319477458,401842.438893657,5531842.52983693
16,Keyline,0,0,0,0.00000000000000,133.53119928448609,401708.460677894,5531789.04052752
16,Keyline,1,0,1,2.67919801890512,133.53119928448609,401710.40309494,5531787.19523133
18,Keyline,0,0,0,0.00000000000000,176.34749210355605,401868.473964235,5531953.65162379
18,Keyline,1,0,1,3.07525936457450,176.34749210355605,401868.669874003,5531950.58261099
20,Keyline,0,0,0,0.00000000000000,97.99747347702944,401971.136163076,5531770.55114527
20,Keyline,1,0,1,2.96675988145395,97.99747347702944,401974.074068858,5531770.13838165
23,Keyline,0,0,0,0.00000000000000,163.46776856825775,402119.502933229,5531979.79651776
23,Keyline,1,0,1,2.93157808475531,163.46776856825775,402120.337127489,5531976.98613166
5,Keyline,0,0,0,0.00000000000000,125.89266568228317,401813.065905887,5531900.88125903
5,Keyline,1,0,1,2.27781529163745,125.89266568228317,401814.911202081,5531899.54584731
6,Keyline,0,0,0,0.00000000000000,102.88257186459892,401879.023104713,5531807.05644564
6,Keyline,1,0,1,2.55920961318997,102.88257186459892,401881.517896607,5531806.48586064
14,Keyline,0,0,0,0.00000000000000,129.41654677480466,401912.913920875,5531992.58049264
14,Keyline,1,0,1,2.51164337541577,129.41654677480466,401914.854291552,5531990.98571551
2,Keyline,0,0,0,0.00000000000000,169.41344335300741,401758.015639791,5531786.03697915
2,Keyline,1,0,1,2.60385414878964,169.41344335300741,401758.494021746,5531783.47744655
3,Keyline,0,0,0,0.00000000000000,201.14245301242693,401721.057240266,5531914.34057349
3,Keyline,1,0,1,2.50845477226405,201.14245301242693,401720.15247079,5531912.00097149
4,Keyline,0,0,0,0.00000000000000,270.00000000000000,401700.491512457,5531987.01041142
4,Keyline,1,0,1,2.47477804491064,270.00000000000000,401698.016734412,5531987.01041142
7,Keyline,0,0,0,0.00000000000000,89.74759732440580,401982.481527777,5531885.50522938
7,Keyline,1,0,1,2.54775540694297,89.74759732440580,401985.029258463,5531885.51645286
8,Keyline,0,0,0,0.00000000000000,91.02303018277127,401987.027038472,5531903.06998058
8,Keyline,1,0,1,2.51446104283762,91.02303018277127,401989.541098708,5531903.02508665
9,Keyline,0,0,0,0.00000000000000,110.52919085855007,402004.087285187,5531956.91942226
9,Keyline,1,0,1,2.49161326995662,110.52919085855007,402006.420665181,5531956.04565198
11,Keyline,0,0,0,0.00000000000000,280.36127695113396,402018.003852095,5532004.5190452
11,Keyline,1,0,1,3.05775555492377,280.36127695113396,402014.995958599,5532005.06899587
12,Keyline,0,0,0,0.00000000000000,307.61742365070313,402059.003236213,5531906.53803689
12,Keyline,1,0,1,2.40876449960213,307.61742365070313,402057.09524407,5531908.00831319
17,Keyline,0,0,0,0.00000000000000,130.62225907613947,401728.011493256,5531761.56991617
17,Keyline,1,0,1,3.32703874622050,130.62225907613947,401730.536776975,5531759.40378392
19,Keyline,0,0,0,0.00000000000000,244.83000408264789,401751.086974708,5531848.4508996
19,Keyline,1,0,1,3.29865407721902,244.83000408264789,401748.101528178,5531847.0479642
21,Keyline,0,0,0,0.00000000000000,39.61629832036248,401757.546089288,5531939.60241838
21,Keyline,1,0,1,3.04506150872544,39.61629832036248,401759.487751881,5531941.94812637
22,Keyline,0,0,0,0.00000000000000,270.99203558084133,401898.553021899,5531918.45457016
22,Keyline,1,0,1,2.59301328143520,270.99203558084133,401895.960397281,5531918.4994641
1,Keyline,0,0,0,0.00000000000000,107.44934864165154,401773.767507473,5531747.92367902
1,Keyline,1,0,1,2.48041517866392,107.44934864165154,401776.133779928,5531747.17989536
24,Graben,0,0,0,0.00000000000000,269.71062982570203,401783.030812205,5531711.46808863
24,Graben,1,0,1,2.55194392574914,269.71062982570203,401780.478900825,5531711.45520019
25,Graben,0,0,0,0.00000000000000,140.42522636614726,401741.929572867,5531715.50217076
25,Graben,1,0,1,3.27731547267697,140.42522636614726,401744.01750036,5531712.97603626
26,Graben,0,0,0,0.00000000000000,89.09540495410634,401715.998028952,5531708.91617725
26,Graben,1,0,1,2.44910908242050,89.09540495410634,401718.446832801,5531708.95484257
27,Graben,0,0,0,0.00000000000000,89.14062776550054,401721.411174302,5531736.43299945
27,Graben,1,0,1,2.57797823559619,89.14062776550054,401723.988862564,5531736.47166477
28,Graben,0,0,0,0.00000000000000,123.72238325233580,401698.501969874,5531734.58995234
28,Graben,1,0,1,3.16889267866394,123.72238325233580,401701.137656122,5531732.8306801
29,Graben,0,0,0,0.00000000000000,180.00000000000000,401710.507552954,5531769.54984939
29,Graben,1,0,1,2.53902293741703,180.00000000000000,401710.507552954,5531767.01082646
30,Graben,0,0,0,0.00000000000000,118.06091437046780,401796.038471597,5531842.39854179
30,Graben,1,0,1,2.81517680422123,118.06091437046780,401798.522718659,5531841.07425444
31,Graben,0,0,0,0.00000000000000,90.52467196662757,401850.977063736,5531690.98030012
31,Graben,1,0,1,2.63901900530901,90.52467196662757,401853.615972094,5531690.95613429
32,Graben,0,0,0,0.00000000000000,90.43736387340103,401854.427943897,5531726.0110836
