fid,id,Ordnung,vertex_index,vertex_part,vertex_part_index,distance,angle,xcoord,ycoord
445,28,2,4,0,4,54.1591819309592,281.018161692107,401780.185194684,5531747.54832663
446,28,2,5,0,5,59.51302127501,286.905158100453,401775.062708607,5531749.10516063
447,29,2,0,0,0,0,15.7755808102134,401834.071739393,5531745.03730404
448,29,2,1,0,1,11.6374993608564,11.819063216264,401837.235627852,5531756.23646478
449,29,2,2,0,2,22.2838797883419,6.54028137247591,401838.692020952,5531766.78275964
450,29,2,3,0,3,33.3279269164893,26.2750204027274,401839.696429987,5531777.78103857
451,29,2,4,0,4,41.1824119893942,52.8866142597568,401845.471781936,5531783.10440646
452,29,2,5,0,5,52.7930068116457,56.7148348646563,401855.365210928,5531789.18108112
453,29,2,6,0,6,64.8723565871248,54.6452598025957,401865.258639919,5531796.11150346
454,29,2,7,0,7,73.2207420178787,57.2505555100725,401872.038400903,5531800.98288727
455,29,2,8,0,8,79.5868652362438,66.5892653450158,401877.562650593,5531804.14677573
456,29,2,9,0,9,82.1603877728711,72.9794743824614,401880.023452728,5531804.90008251
457,30,1,0,0,0,0,25.6592645168481,401756.230039207,5531964.04869405
458,30,1,1,0,1,11.3658102665896,20.745825568351,401761.151643477,5531974.2936662
459,30,1,2,0,2,18.36070977874,17.6741298145695,401763.060020643,5531981.02320674
460,30,1,3,0,3,35.1976732818468,20.9744319658699,401768.684711237,5531996.89286948
461,30,1,4,0,4,47.0420366663569,23.3382557545105,401773.204551893,5532007.84092796
462,30,1,5,0,5,63.6755476254488,20.4546390516651,401780.034533328,5532023.00750438
463,30,1,6,0,6,80.1362152346763,19.1185323539602,401784.755255791,5532038.77672623
464,30,1,7,0,7,94.0689290213873,21.9937273356756,401789.877741868,5532051.73360278
465,30,1,8,0,8,102.760985224435,25.7060534969741,401793.192291682,5532059.76887505
466,30,1,9,0,9,112.292292463005,27.7805053446188,401797.812573242,5532068.10547004
467,30,1,10,0,10,117.907109660141,26.5650511754842,401800.323595828,5532073.12751521
468,31,1,0,0,0,0,65.7564794114956,401798.415218663,5531985.8443701
