id,Type,Length,Isometrie,vertex_index,vertex_part,vertex_part_index,distance,angle,xcoord,ycoord
6,Distributor,,Links,0,0,0,0.00000000000000,95.71059313506674,401853.558291729,5531772.32443006
6,Distributor,,Links,1,0,1,7.22925308792402,100.17623883708487,401860.751667409,5531771.60509249
6,Distributor,,Links,2,0,2,11.81406137456523,98.93644722261926,401865.187582411,5531770.44615975
6,Distributor,,Links,3,0,3,16.77738762794176,91.61550495306778,401870.143018991,5531770.16641736
6,Distributor,,Links,4,0,4,20.69378105366484,88.89870091531118,401874.059412417,5531770.16641736
6,Distributor,,Links,5,0,5,24.85302662489719,91.71897563290118,401878.215585032,5531770.32627015
6,Distributor,,Links,6,0,6,28.10579529643236,95.99037058918800,401881.452604088,5531770.00656457
6,Distributor,,Links,7,0,7,31.36273465768935,95.23743155758650,401884.689623144,5531769.64689578
6,Distributor,,Links,8,0,8,34.68833553480943,92.84141454717307,401888.006568596,5531769.40711659
6,Distributor,,Links,9,0,9,36.16751381366073,91.54815772236923,401889.48520693,5531769.36715339
10,Distributor,,Links,0,0,0,0.00000000000000,102.99461679194256,401893.731296741,5531767.35900268
10,Distributor,,Links,1,0,1,9.59716018090905,101.64973163018740,401903.082685125,5531765.20098998
10,Distributor,,Links,2,0,2,18.53320296309715,100.73934235409516,401911.874588734,5531763.60246205
10,Distributor,,Links,3,0,3,25.13233594099246,97.82049865308478,401918.348626846,5531762.3236397
10,Distributor,,Links,4,0,4,30.26321219021917,98.90794309066648,401923.463916218,5531761.92400772
10,Distributor,,Links,5,0,5,35.10981073726876,103.34872711492150,401928.179573608,5531760.80503817
13,Distributor,,Links,0,0,0,0.00000000000000,114.17910714696399,401869.673451411,5531974.04866388
13,Distributor,,Links,1,0,1,8.58604454403390,115.46216656868857,401877.506238263,5531970.53190244
13,Distributor,,Links,2,0,2,19.95274716442781,117.60270099509918,401887.656890611,5531965.41661307
13,Distributor,,Links,3,0,3,29.68048245762055,118.01515658987748,401896.209015031,5531960.78088207
