fid,id,Ordnung,vertex_index,vertex_part,vertex_part_index,distance,angle,xcoord,ycoord
120,1,3,0,0,0,0.00000000000000,12.73640020499686,401601.225639587,5531698.09281387
120,1,3,1,0,1,8.06004416177720,8.92685752751211,401603.002604642,5531705.95453805
120,1,3,2,0,2,15.30447439982094,8.60603596378830,401603.648773752,5531713.17009312
120,1,3,3,0,3,22.24327467743246,10.93498894163474,401605.102654251,5531719.95486878
120,1,3,4,0,4,36.83235007418213,10.02887791743345,401607.579635842,5531734.3321315
120,1,3,5,0,5,49.20050717583384,8.29094436774176,401609.787380304,5531746.50164975
120,1,3,6,0,6,57.54338343791640,8.05530528741294,401610.702786544,5531754.79415333
120,1,3,7,0,7,64.81138975467590,8.07572430713650,401611.94127734,5531761.95586098
120,1,3,8,0,8,73.58835499756213,8.27853568756884,401612.910531006,5531770.67914397
120,1,3,9,0,9,82.99933849745712,9.57043403638106,401614.579801208,5531779.94090123
120,1,3,10,0,10,89.59471401536626,8.66816686704989,401615.6029023,5531786.45643976
120,1,3,11,0,11,97.32421143739204,8.30330431228411,401616.733698244,5531794.10277424
120,1,3,12,0,12,104.12456786983942,6.24170833150190,401617.70295191,5531800.83370247
120,1,3,13,0,13,108.44446062155644,8.21298889178184,401618.026036466,5531805.14149654
120,1,3,14,0,14,113.56676334597611,8.47518767416021,401619.102984984,5531810.14930715
120,1,3,15,0,15,118.70037484335624,5.74870750155555,401619.533764391,5531815.26481261
120,1,3,16,0,16,125.64001081745933,10.36005378918415,401620.341475779,5531822.15728313
120,1,3,17,0,17,128.30423431276475,11.04767368573014,401620.98764489,5531824.74195957
120,1,3,18,0,18,134.44968606320731,5.42590313374065,401621.849203704,5531830.82671869
120,1,3,19,0,19,136.66005566766484,5.92013718268570,401621.956898556,5531833.03446316
120,1,3,20,0,20,145.22061098144866,9.39733106934939,401623.303084203,5531841.48850902
120,1,3,21,0,21,154.12629803678314,7.78135833394823,401624.810812128,5531850.26563944
120,1,3,22,0,22,159.97190673645770,1.95323704744923,401625.403133813,5531856.08116144
120,1,3,23,0,23,161.58822672037056,6.17767993069094,401625.349286387,5531857.69658421
120,1,3,24,0,24,164.86629242950718,11.64606262348752,401626.156997775,5531860.87358234
120,1,3,25,0,25,170.70023298843566,6.60626453806477,401627.072404016,5531866.63525691
120,1,3,26,0,26,175.12752629911122,3.93815105545937,401627.395488571,5531871.05074584
120,1,3,27,0,27,176.80026692159521,5.68517489619495,401627.503183423,5531872.72001604
120,1,3,28,0,28,181.63605358470764,9.30088426374412,401628.149352534,5531877.51243694
120,1,3,29,0,29,187.88792292934892,10.23596932453566,401629.333995903,5531883.6510435
120,1,3,30,0,30,193.73055474468347,9.28116914184376,401630.303249569,5531889.41271807
120,1,3,31,0,31,201.63604643495279,7.15706543619396,401631.541740365,5531897.22059482
120,1,3,32,0,32,206.88168125407651,5.35235893840144,401632.026367198,5531902.44379513
120,1,3,33,0,33,210.88417893011828,7.07497681145815,401632.403299179,5531906.42850465
120,1,3,34,0,34,215.84194509032943,8.62537075145418,401633.157163142,5531911.3286204
120,1,3,35,0,35,221.66767916002308,9.74661516786481,401634.018721956,5531917.09029497
120,1,3,36,0,36,227.31755472865868,8.89885063757874,401635.095670474,5531922.63657984
120,1,3,37,0,37,230.95095941841737,7.22119038394144,401635.526449881,5531926.24435738
120,1,3,38,0,38,236.22085928842432,6.78537334383151,401636.226466417,5531931.46755769
120,1,3,39,0,39,242.98809048574489,7.53630222918542,401636.926482954,5531938.19848592
120,1,3,40,0,40,253.84138615161208,7.26646856771561,401638.649600583,5531948.91412368
120,1,3,41,0,41,260.71046907949352,8.35384062504654,401639.295769693,5531955.75274677
120,1,3,42,0,42,267.57469596411119,8.72359421205550,401640.641955341,5531962.483675
120,1,3,43,0,43,272.61137360008166,6.98048334091153,401641.1804296,5531967.49148561
120,1,3,44,0,44,279.73166496641471,7.71921133719177,401642.149683266,5531974.5454984
120,1,3,45,0,45,289.89072075440447,8.18043710268478,401643.495868913,5531984.61496704
120,1,3,46,0,46,299.09800076608104,8.76366249810071,401644.895901986,5531993.71518202
120,1,3,47,0,47,305.79978831282187,9.45291719489305,401645.919003078,5532000.3384154
120,1,3,48,0,48,314.98925818792662,9.23105804720017,401647.534425855,5532009.38478295
120,1,3,49,0,49,321.30228042903508,6.72393099978145,401648.449832095,5532015.63108436
120,1,3,50,0,50,327.95194699535506,6.69810729293732,401649.04215378,5532022.25431774
120,1,3,51,0,51,333.55673722403611,11.31756452951342,401649.849865168,5532027.80060261
120,1,3,52,0,52,335.94673810222525,8.55659470262426,401650.442186853,5532030.11604192
120,1,3,53,0,53,343.76370792004843,5.55065090490618,401650.819118834,5532037.92391868
120,1,3,54,0,54,350.07673016022693,6.87288829828042,401651.734525074,5532044.17022008
120,1,3,55,0,55,359.21763800342495,4.95746952071991,401652.596083889,5532053.27043506
120,1,3,56,0,56,370.18256594839602,4.50660688386989,401653.457642703,5532064.20146251
121,2,3,0,0,0,0.00000000000000,281.94417718840248,401926.948718811,5531625.34494149
121,2,3,1,0,1,11.44811977758286,282.25698449886619,401915.748454225,5531627.71422823
121,2,3,2,0,2,19.61324344559151,281.64145741516506,401907.779035193,5531629.49119328
121,2,3,3,0,3,33.80712257756413,281.14766740696678,401893.832551887,5531632.12971715
121,2,3,4,0,4,49.36269237922344,282.31736616742620,401878.593730359,5531635.25286785
121,2,3,5,0,5,65.33732788920923,279.98187383074088,401863.031824276,5531638.86064539
121,2,3,6,0,6,74.28718477235216,280.02722161297737,401854.146999004,5531639.93759391
